timestamp,temp,pressure,vibration,label
2026-02-06 16:18:39,36.438,0.9989,0.0223,abnormal
2026-02-06 16:19:39,49.564,1.0188,0.0256,normal
2026-02-06 16:20:39,46.761,1.0263,0.0245,normal
2026-02-06 16:21:39,46.906,1.0217,0.0271,normal
2026-02-06 16:22:39,46.943,1.0978,0.0308,abnormal
2026-02-06 16:23:39,46.734,1.0308,0.0278,normal
2026-02-06 16:24:39,46.711,1.1027,0.0264,abnormal
2026-02-06 16:25:39,47.046,1.0382,0.0333,normal
2026-02-06 16:26:39,46.925,1.028,0.0328,normal
2026-02-06 16:27:39,48.051,1.0201,0.0264,normal
2026-02-06 16:28:39,59.542,1.0181,0.0269,abnormal
2026-02-06 16:29:39,47.305,1.0363,0.0246,normal
2026-02-06 16:30:39,46.668,1.0268,0.042,normal
2026-02-06 16:31:39,59.146,,0.0309,abnormal
2026-02-06 16:32:39,47.278,1.0272,0.0343,normal
2026-02-06 16:33:39,47.679,1.0146,0.0286,normal
2026-02-06 16:34:39,46.29,1.0277,0.0253,normal
2026-02-06 16:35:39,45.849,1.0145,0.0264,normal
2026-02-06 16:36:39,48.915,1.015,0.0348,normal
2026-02-06 16:37:39,47.502,1.0096,0.0249,normal
2026-02-06 16:38:39,,1.0273,0.0366,normal
2026-02-06 16:39:39,46.555,1.1337,0.0183,abnormal
2026-02-06 16:40:39,47.777,1.0235,,normal
2026-02-06 16:41:39,47.57,1.1351,0.0302,abnormal
2026-02-06 16:42:39,47.374,1.1108,0.0353,abnormal
2026-02-06 16:43:39,48.633,1.0237,0.0231,normal
2026-02-06 16:44:39,47.074,0.9932,0.0239,normal
2026-02-06 16:45:39,46.892,1.0225,0.02,normal
2026-02-06 16:46:39,57.167,1.0228,0.0232,abnormal
2026-02-06 16:47:39,47.515,1.0277,0.0292,normal
2026-02-06 16:48:39,47.023,1.0489,0.0286,normal
2026-02-06 16:49:39,38.831,1.0289,0.0314,abnormal
2026-02-06 16:50:39,47.885,1.015,0.0367,normal
2026-02-06 16:51:39,45.902,1.0055,0.0363,normal
2026-02-06 16:52:39,47.701,1.1429,0.0267,abnormal
2026-02-06 16:53:39,47.118,1.0358,0.0307,normal
2026-02-06 16:54:39,48.34,1.0146,0.0221,normal
2026-02-06 16:55:39,46.585,1.0108,0.0363,normal
2026-02-06 16:56:39,47.208,1.0139,,normal
2026-02-06 16:57:39,46.543,1.0147,0.0306,normal
2026-02-06 16:58:39,48.076,1.0168,0.0325,normal
2026-02-06 16:59:39,47.543,1.0266,0.0267,normal
2026-02-06 17:00:39,47.006,1.026,0.0275,normal
2026-02-06 17:01:39,46.49,1.038,0.1375,abnormal
2026-02-06 17:02:39,48.301,1.0102,0.0325,normal
2026-02-06 17:03:39,48.356,1.0237,0.0253,normal
2026-02-06 17:04:39,46.653,1.0074,0.0333,normal
2026-02-06 17:05:39,47.44,1.0076,0.0314,normal
2026-02-06 17:06:39,47.203,1.0217,0.0398,normal
2026-02-06 17:07:39,48.366,1.0309,0.0387,normal
2026-02-06 17:08:39,48.831,1.0177,0.0302,normal
2026-02-06 17:09:39,47.83,1.0374,0.0278,normal
2026-02-06 17:10:39,46.464,1.0268,0.0305,normal
2026-02-06 17:11:39,48.756,1.0171,0.0281,normal
2026-02-06 17:12:39,47.051,1.013,0.0266,normal
2026-02-06 17:13:39,56.283,1.0235,0.0267,abnormal
2026-02-06 17:14:39,47.006,1.0159,0.0863,abnormal
2026-02-06 17:15:39,47.571,1.0331,0.0304,normal
2026-02-06 17:16:39,47.332,1.0196,0.0358,normal
2026-02-06 17:17:39,47.436,1.0162,0.0318,normal
2026-02-06 17:18:39,46.473,1.0093,0.0308,normal
2026-02-06 17:19:39,48.343,1.0197,0.0282,normal
2026-02-06 17:20:39,49.019,1.0291,0.0187,normal
2026-02-06 17:21:39,47.566,1.0328,0.0344,normal
2026-02-06 17:22:39,47.836,1.016,0.0295,normal
2026-02-06 17:23:39,48.645,1.0074,0.0254,normal
2026-02-06 17:24:39,47.668,1.0132,0.027,normal
2026-02-06 17:25:39,46.714,1.0281,0.034,normal
2026-02-06 17:26:39,47.627,1.0177,,normal
2026-02-06 17:27:39,48.027,1.0278,0.0225,normal
2026-02-06 17:28:39,50.539,1.027,0.0199,normal
2026-02-06 17:29:39,47.695,,0.0265,normal
2026-02-06 17:30:39,47.092,1.032,0.024,normal
2026-02-06 17:31:39,46.455,1.0279,0.0301,normal
2026-02-06 17:32:39,47.732,1.0277,0.0267,normal
2026-02-06 17:33:39,47.881,1.0217,0.0232,normal
2026-02-06 17:34:39,48.652,1.0076,0.0223,normal
2026-02-06 17:35:39,46.954,1.0247,0.0296,normal
2026-02-06 17:36:39,46.623,0.9456,0.0214,abnormal
2026-02-06 17:37:39,47.577,,0.0281,normal
2026-02-06 17:38:39,48.033,0.9539,0.0357,abnormal
2026-02-06 17:39:39,47.18,1.0184,0.0259,normal
2026-02-06 17:40:39,47.494,1.0213,0.0345,normal
2026-02-06 17:41:39,46.581,1.018,0.0256,normal
2026-02-06 17:42:39,48.318,1.0124,0.0384,normal
2026-02-06 17:43:39,47.44,1.0294,0.0339,normal
2026-02-06 17:44:39,48.053,1.023,0.0349,normal
2026-02-06 17:45:39,47.495,1.0363,0.0293,normal
2026-02-06 17:46:39,48.899,1.0262,0.0308,normal
2026-02-06 17:47:39,47.386,1.0191,0.0366,normal
2026-02-06 17:48:39,47.013,1.0328,0.0366,normal
2026-02-06 17:49:39,47.879,1.0205,0.033,normal
2026-02-06 17:50:39,47.542,1.0241,0.029,normal
2026-02-06 17:51:39,46.37,1.031,0.0315,normal
2026-02-06 17:52:39,46.99,1.0292,0.0356,normal
2026-02-06 17:53:39,47.395,1.0278,0.0355,normal
2026-02-06 17:54:39,48.319,0.9423,0.0266,abnormal
2026-02-06 17:55:39,35.192,1.0337,0.0383,abnormal
2026-02-06 17:56:39,46.844,1.0334,0.0287,normal
2026-02-06 17:57:39,46.149,1.0159,0.0316,normal
